Longitude,Latitude,zone,LocationID,borough
-74.22954655,40.52729818,Charleston/Tottenville,44,Staten Island
-74.01130777,40.7033938,Financial District South,88,Manhattan
-73.99047762,40.74031346,Union Sq,234,Manhattan
-73.97214549,40.75681616,Midtown East,162,Manhattan
-73.94869919,40.74658997,Long Island City/Hunters Point,145,Queens
-73.92102903,40.79143296,Randalls Island,194,Manhattan
-73.89571716,40.66770187,East New York/Pennsylvania Avenue,77,Brooklyn
-73.85826965,40.88322333,Williamsbridge/Olinville,254,Bronx
-73.81519254,40.744411,Queensboro Hill,192,Queens
-73.70907059,40.74372178,Glen Oaks,101,Queens
